time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-3.1335885725762314e-07,-7.72920288754347e-08,10.003923274514863,6.28305856016452,0.0002830295330467081,0.0,-2.6978680430691095e-05,-8.929775514561401e-06,0.13076904249830454,-0.0067132395017394505,0.012788960704435673,0.0,445.2663045728281,446.31107000376784,447.59461130379486,447.0480757439424
0.12000000000000001,-1.171096523005366e-05,-5.1729616741848505e-06,10.016864730688726,6.282679874350343,0.001158335791522802,0.0,-0.0004454569629160438,-0.00020480724326964634,0.3005826868290495,-0.005519653480593353,0.017964087489471522,0.0,457.9190093835167,458.33031301184127,458.92485958555534,459.01967791570485
0.18,-6.830655271571249e-05,-2.9397299153850197e-05,10.038876105364096,6.281835851585075,0.002640859627952352,0.0,-0.0015805300924263102,-0.0006531426523643995,0.4330879931329479,-0.04264745552841252,0.03560365386540685,0.0,446.53347184632526,447.96999000754073,448.6769472728827,445.65291585290487
0.23999999999999996,-0.00022989206796807395,-0.00010792941826596355,10.06917561249697,6.27981588071837,0.004819700415215955,0.0,-0.004039567026766437,-0.0022082053763853404,0.5768321493045151,-0.019986337911319957,0.03769786249612341,0.0,450.87213396800274,451.041846887698,449.7001798580998,451.53121329889285
0.3,-0.0005888947452196248,-0.0003203431438450505,10.108409317472365,6.278723733961815,0.006900958111516253,0.0,-0.008166515048644796,-0.004997728040244936,0.7308698835804016,-0.014854374254755748,0.027862426498298485,0.0,454.2734965129664,453.48473065487957,454.10436298669094,454.5158515192331
0.36000000000000004,-0.0012419343398806005,-0.000724982314277105,10.157229523732276,6.27766828600981,0.0083465922099073,0.0,-0.013776236412685102,-0.00859769488782796,0.8963529844080229,-0.023717961207186396,0.01522748645316308,0.0,458.30084724133445,457.29568604619413,458.1178576718565,457.4127053277469
0.4200000000000001,-0.0022298101142793807,-0.0013502468085621526,10.212279253234518,6.276251573301629,0.009400356258074893,0.0,-0.019244954413660732,-0.012376951025877997,0.938602331673997,-0.023400578288979023,0.021865716112605273,0.0,419.01729251490616,419.59386028727204,418.7183899046101,418.74589929880653
0.48000000000000015,-0.003574490098319781,-0.002234472785547375,10.27062955782143,6.274425807822457,0.010281965115559899,0.0,-0.025690213473985268,-0.017247809563247632,1.0063479457804863,-0.05068892881137663,-0.006227484800567444,0.0,429.064478843056,426.6729992303293,428.22503685323545,425.89721564502435
0.5400000000000001,-0.00536664898162482,-0.0034962122902697105,10.337733024349923,6.271712804593303,0.010886924653437546,0.0,-0.03407413142324823,-0.02515226069515545,1.2302166059657067,-0.03605897409946037,0.031095356141597932,0.0,475.2834112233403,478.1349861129341,473.98086926802296,475.10265618792056
0.6000000000000002,-0.007662347176356129,-0.005270612049610245,10.416251137290152,6.269793271851395,0.012769978633386359,0.0,-0.04265410552839416,-0.03421648966589822,1.3868713669246484,-0.02489816560226405,0.03195571203581737,0.0,456.615567090609,456.6845077166153,455.0142653501471,455.9064158696325
0.6600000000000003,-0.010489377807655714,-0.007601760801593012,10.502151452846755,6.267941504158953,0.015234155679125116,0.0,-0.0518032943510317,-0.043650944156589086,1.4763551931765342,-0.04677892396732237,0.054904641542530656,0.0,434.87134877658235,436.79011513750856,436.10428021687034,434.27250805572265
0.7200000000000003,-0.013891811163353585,-0.010513381246314856,10.591643817835577,6.265350107781973,0.018381420484506528,0.0,-0.061906378171008185,-0.05364911641527381,1.5066745718354053,-0.0368375456802191,0.047040576075452846,0.0,416.5263512117027,415.8400838296237,416.31583540114497,417.18350534375486
0.7800000000000004,-0.017979911747396868,-0.014092420607860576,10.684129224531505,6.263330197791623,0.02152947056925303,0.0,-0.07465467768909102,-0.06585597143141249,1.5760686137792979,-0.027976044372410604,0.06156077688292133,0.0,428.1492691086623,429.38462269295223,429.70815340791887,430.45811764837845
0.8400000000000004,-0.022989702560162584,-0.01852526766565714,10.784909759838126,6.261225921981481,0.025111006597910546,0.0,-0.09276074774911029,-0.08211476458774163,1.7829675463252668,-0.05563039651710805,0.05566753759010724,0.0,472.15893300062487,471.70637107629534,473.31416801807245,471.1806190973085
0.9000000000000005,-0.029262735542432052,-0.024072466898430456,10.901708746935302,6.2580854135824975,0.02839803548828357,0.0,-0.11677576327348367,-0.10321746823297571,2.1097639908201042,-0.046466652567062755,0.05295578868847807,0.0,506.4010203282451,506.20754182962617,507.0444519562764,507.7008782940229
0.9600000000000005,-0.03683644015466094,-0.030766602112798053,11.030186491199979,6.255022479330181,0.03157008309887033,0.0,-0.13598429433348055,-0.12019754749175168,2.1726909297405808,-0.06229812043436772,0.05269028327601178,0.0,429.38106026748983,429.3604719565822,430.37796933738645,429.0341248540067
1.0200000000000005,-0.04565243308293864,-0.03856652760755168,11.163297392339706,6.252073584201911,0.03432319940814921,0.0,-0.1581803884670333,-0.14012326067359565,2.264139390439062,-0.03101271867348164,0.026614060099377862,0.0,440.2695829821934,438.1080587185243,437.4978049912685,440.093012395731
1.0800000000000005,-0.05595083253926602,-0.047706985453572444,11.304789393339421,6.250515646088559,0.03566395801914535,0.0,-0.18525771166855498,-0.16474144672739618,2.451860857805129,-0.017413819123042254,0.012040967242357908,0.0,469.4253952218821,468.2932260530511,468.54975923309405,469.60562850403204
